file,jd,date,year,phase,epoch,instrument,exptime,continuum_color,vmag_nearest,vmag_dt_days,Hbeta_peak,Hbeta_ew,HeI_NaD_peak,HeI_NaD_ew,Halpha_peak,Halpha_ew
000-BBW-825_CDZ_2461144.60680556.FITS,2461144.60680556,2026-04-14,2026.282484398795,0.36032255177819295,23.360322551778193,RC14 + UVEX_600 + Atik460EX,6000,2.1057104578173127,10.08,0.0002314397133886814,0.7556459234931345,-3.401664038157115,1.0973645178061753,-3.8681390697237132,1.7591309078143291,8.453548760627521
000-BBW-825_CDZ_2461145.54079861.FITS,2461145.54079861,2026-04-15,2026.2850432838632,0.364427063126314,23.364427063126314,RC14 + UVEX_600 + Atik460EX,6000,2.2138826652022034,10.057,-0.0005786102265119553,0.8038463635453799,-3.104937655513881,1.0947922257243414,-3.3528267825827607,1.8114438756610725,10.49921344104551
000-BBW-825_CDZ_2461146.60788194.FITS,2461146.60788194,2026-04-16,2026.2879667998354,0.3691164509514415,23.36911645095144,RC14 + UVEX_600 + Atik460EX,6000,2.022891043066451,10.102,-0.0006119399331510067,0.8059878723451824,-2.987699858531506,1.0502506733524695,-3.8836229426858258,1.860594840645808,8.795174404801008
000-BBW-825_CDZ_2461147.53550926.FITS,2461147.53550926,2026-04-17,2026.2905082445477,0.3731929875615627,23.373192987561563,RC14 + UVEX_600 + Atik460EX,6000,2.3262334658836776,10.157,0.00048073986545205116,0.7797780745391247,-3.1958786760609144,1.1230775797643686,-2.8794748527908904,1.8423804511130082,10.906854670416902
000-BBW-825_CDZ_2461154.67608796.FITS,2461154.67608796,2026-04-24,2026.3100714738634,0.4045728637934971,23.404572863793497,RC14 + UVEX_600 + Atik460EX,6000,2.156020686354192,10.154,-0.0008779601193964481,0.782103973771434,-3.211595580769136,1.0740676834032337,-3.6554777936257956,2.0033420966373,11.319796432249138
000-BBW-825_CDZ_2461155.67466435.FITS,2461155.67466435,2026-04-25,2026.3128072995896,0.4089611920851759,23.408961192085176,RC14 + UVEX_600 + Atik460EX,6000,2.12127515242593,10.18,-0.0009343503043055534,0.7926893180310003,-2.8915234452633642,1.138061101679707,-2.7787069378769242,2.6303698578397556,16.51119463922889
000-BBW-825_CDZ_2461158.68615741.FITS,2461158.68615741,2026-04-28,2026.321057965507,0.4221954527042797,23.42219545270428,RC14 + UVEX_600 + Atik460EX,5400,2.2250139475795643,10.247,0.0025325901806354523,0.7584350274332224,-3.425310307068723,1.1383286284847618,-2.561183042312426,2.4718590763745896,15.072672560528595
000-BBW-825_CDZ_2461161.65458333.FITS,2461161.65458333,2026-05-01,2026.3291906392597,0.4352404511387853,23.435240451138785,RC14 + UVEX_600 + Atik460EX,6000,2.269576572329233,10.276,-0.0009233299642801285,0.7640114645049993,-3.3497026762813,1.1120335984549055,-2.7548369312358663,2.29602013975488,13.633179258953765
000-BBW-825_CDZ_2461162.68104167.FITS,2461162.68104167,2026-05-02,2026.3320028538906,0.43975130901542414,23.439751309015424,RC14 + UVEX_600 + Atik460EX,6000,2.216578247296203,10.324,0.00020832987502217293,0.7656599410581266,-3.3200341763841394,1.1079323054417394,-3.2066194491798203,2.3970662557855813,13.805609037916614
000-BBW-825_CDZ_2461163.6412037.FITS,2461163.6412037,2026-05-03,2026.3346334347948,0.44397082215728645,23.443970822157286,RC14 + UVEX_600 + Atik460EX,6000,2.204971673735727,10.315,0.00013888999819755554,0.7596025625582161,-3.4661222662003137,1.1048506332178814,-3.3117168408127604,2.288808656810938,13.1450337531021
